title,company,location,posted,link
IT Specialist - Officer - Post-trade Application (12 months contract),HKEX,HK,13 hours ago,
QA Engineer - Global Investment Bank,NLS,HK,2 days ago,
IT Security specialist,Michael Page,HK,2 days ago,
Software Engineer (Backend & AI),Gravitas Recruitment Group,HK,2 days ago,
Java Software Developer - Prime EQD Inventory Management,Gravitas Recruitment Group,HK,1 day ago,
DevOps Lead - Global Trading Firm,NLS,HK,2 days ago,
(Senior) Application Development Manager,Bank Of China (Hong Kong) Limited,HK,3 days ago,
"Manager / Senior Manager, System Development (Credit Card & Enterprise Services)",Dah Sing Financial Group,HK,2 days ago,
AI Agent Security Research Engineer,OKX,HK,19 hours ago,
